"V1","V2"
"E8.5_CPC_p2_099",-19.8014419398927,0.239122963286617
"E8.5_CPC_p2_192",-14.4652373911469,-12.1912116762533
"E8.5_CPC_p2_360",-18.3518013223621,-23.5535719066652
"E8.5_CPC_p2_223",-16.5422317166448,-19.4329472151798
"E8.5_CPC_p2_141",-12.1391884005947,-12.5065811128422
"E8.5_CPC_p2_134",-17.3446800645195,-25.2203982899791
"E8.5_CPC_p2_074",36.3364154740431,7.73747938714965
"E8.5_CPC_p2_136",20.3396153286074,19.945629600024
"E8.5_CPC_p2_002",-23.6331216619411,-12.1779455080052
"E8.5_CPC_p2_005",47.3643901013431,1.42340110439308
"E8.5_CPC_p2_235",-20.3779727844192,-9.10887907591727
"E8.5_CPC_p2_113",48.9157152341542,2.18146837361557
"E8.5_CPC_p2_188",48.8491703631157,3.31504698503079
"E8.5_CPC_p2_224",-19.131551586622,-5.37481209822356
"E8.5_CPC_p2_146",-22.2737777800937,-1.08079637843872
"E8.5_CPC_p2_210",-11.7099682419761,-7.36241231399089
"E8.5_CPC_p2_342",-8.01865778419947,-13.4452364870199
"E8.5_CPC_p2_336",31.9509771125513,29.019529741479
"E8.5_CPC_p2_206",-15.5925030474903,-1.77148529657178
"E8.5_CPC_p2_366",46.1008784925948,15.5066806909527
"E8.5_CPC_p2_004",42.9973897973833,1.49889015379854
"E8.5_CPC_p2_334",34.7651657817938,12.4571715233294
"E8.5_CPC_p2_230",14.6981332733545,14.0977002158248
"E8.5_CPC_p2_355",-19.2654451075214,-2.58037485963527
"E8.5_CPC_p2_076",-17.7120930245389,0.0963943698204532
"E8.5_CPC_p2_262",48.2657646565234,7.97176132598208
"E8.5_CPC_p2_048",-17.3559798493086,-10.4574692076252
"E8.5_CPC_p2_097",-14.3457989036487,-22.2264406894056
"E8.5_CPC_p2_140",-25.8137372643058,-0.346611882591916
"E8.5_CPC_p2_312",43.2396907827835,-6.17865337122014
"E8.5_CPC_p2_234",-18.555139987859,-3.91863425386327
"E8.5_CPC_p2_337",36.552379669267,12.9203095004415
"E8.5_CPC_p2_212",-11.2333796051699,-10.211420393562
"E8.5_CPC_p2_225",-22.3868579624608,1.29019138904438
"E8.5_CPC_p2_003",-10.8142012266167,-14.2150532259026
"E8.5_CPC_p2_166",47.847808785346,1.15312899643125
"E8.5_CPC_p2_154",4.36391851305828,-17.7855638015082
"E8.5_CPC_p2_367",-32.5615967581713,20.8282936868881
"E8.5_CPC_p2_032",40.697442504426,0.452851930021833
"E8.5_CPC_p2_052",29.1852623982873,16.8010017477418
"E8.5_CPC_p2_120",34.7526777275227,24.9919974468295
"E8.5_CPC_p2_220",-34.4733263272396,11.331136346036
"E8.5_CPC_p2_119",-32.5296637579409,18.9021092930306
"E8.5_CPC_p2_149",44.7704956157856,3.60584630674279
"E8.5_CPC_p2_344",44.4877385042593,-1.39368856545387
"E8.5_CPC_p2_108",-13.7231844542046,-14.5781897174143
"E8.5_CPC_p2_308",41.0237933269006,-2.60324044068502
"E8.5_CPC_p2_284",4.92912616478905,-20.3142500458389
"E8.5_CPC_p2_088",39.8665691818823,2.02785848768297
"E8.5_CPC_p2_296",44.4013413785087,-2.42921947977949
"E8.5_CPC_p2_217",-27.7936447416685,-24.7402950411016
"E8.5_CPC_p2_256",47.4734155835274,3.70700780611477
"E8.5_CPC_p2_033",-21.3406308713676,-8.22787090456782
"E8.5_CPC_p2_251",-18.8591220725508,-21.1691561041837
"E8.5_CPC_p2_112",-26.5155685038026,-0.785227955905428
"E8.5_CPC_p2_029",17.0278333133561,40.9917834359514
"E8.5_CPC_p2_158",-39.2122711251489,16.9556780930785
"E8.5_CPC_p2_244",-4.5951535731591,-23.5087271072618
"E8.5_CPC_p2_288",-5.69766975794411,-19.9200349595233
"E8.5_CPC_p2_130",-10.4739244772451,-18.7429711811386
"E8.5_CPC_p2_238",-36.2990347916992,22.1640914630865
"E8.5_CPC_p2_199",-10.1555548046423,-19.5832146198044
"E8.5_CPC_p2_246",-25.6349091420514,5.87023837069887
"E8.5_CPC_p2_257",-4.9852041653663,-21.1774035982421
"E8.5_CPC_p2_258",39.5341105302439,-0.985727163199342
"E8.5_CPC_p2_383",-34.2071247580546,22.7891686051908
"E8.5_CPC_p2_315",-15.1007348172686,-6.93214626232694
"E8.5_CPC_p2_106",40.5027739057582,13.0035470827272
"E8.5_CPC_p2_323",-7.78399198259606,-12.2024526596355
"E8.5_CPC_p2_213",37.9943328328579,22.1758683748645
"E8.5_CPC_p2_293",40.4238498728299,3.3428192659606
"E8.5_CPC_p2_289",40.2579984721172,-0.379536724095487
"E8.5_CPC_p2_180",46.5944733910922,0.463883945620926
"E8.5_CPC_p2_135",36.0162908613625,12.252172248129
"E8.5_CPC_p2_156",45.3471613185726,-5.87100721124331
"E8.5_CPC_p2_198",44.1898928951703,2.24304155114094
"E8.5_CPC_p2_068",15.0582363904845,13.0259832192739
"E8.5_CPC_p2_314",-21.4509019494816,2.93380719985718
"E8.5_CPC_p2_364",-26.9445445708967,17.5980448008951
"E8.5_CPC_p2_015",-17.7682147949076,-4.23396869984634
"E8.5_CPC_p2_347",47.0851616704361,-1.41676302597134
"E8.5_CPC_p2_348",36.8174497329821,14.8985968713381
"E8.5_CPC_p2_037",28.0300328078892,13.3731450330708
"E8.5_CPC_p2_329",-33.909145045498,21.3819930253631
"E8.5_CPC_p2_377",42.5626520459233,-1.99384129688652
"E8.5_CPC_p2_036",46.1423125243847,16.9774840353164
"E8.5_CPC_p2_332",34.7748942438271,10.5561078128808
